№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;7165202-1;50885028-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по предоставлению доступа к информационным ресурсам;Услуги по приобретению и установке базы данных «Система Финансовый директор»;1;Одна услуга;648 660.71;648 660.71;2022-03-16 16:39:17;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
2;7123584-1;50943833-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Перчатки;Перчатки резиновые гелиевые;150;Пара;267.00;40 050.00;2022-03-11 16:37:36;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
3;7123091-1;50916144-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;Услуги по проведению соревнования по подледной рыбной ловли;1;Одна услуга;401 785.71;401 785.71;2022-03-11 16:56:02;2022-03-16 16:56:02;Из одного источника по несостоявшимся закупкам;Закупка состоялась
4;7121667-1;50933875-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Маска;Маска медицинская;15000;Штука;8.93;133 950.00;2022-03-11 15:27:11;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
5;7121667-1;50933349-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Средство дезинфицирующее;Средство дезинфицирующие антисептик для рук фасовка 1 л.;5;Штука;1 741.07;8 705.35;2022-03-11 15:27:11;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
6;7121667-1;50935757-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Перчатки;Перчатки стерильные;500;Пара;89.29;44 645.00;2022-03-11 15:27:11;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
7;7103306-1;46246452-ОИ4;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес кормовой для животных;91.08;Тонна (метрическая);120 000.00;10 929 600.00;2022-03-10 16:06:53;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
8;7096389-1;50985203-ОИ4;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Сетка москитная;Сетка москитная;100;Метр;348.00;34 800.00;2022-03-10 10:10:50;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
9;7089438-1;50885028-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по предоставлению доступа к информационным ресурсам;Услуги по приобретению и установке базы данных «Система Финансовый директор»;1;Одна услуга;648 660.71;648 660.71;2022-03-09 16:30:00;2022-03-16 16:30:00;Запрос ценовых предложений;Закупка не состоялась
10;7085217-1;51766786-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по заправке картриджей;Услуги по заправке лазерных картриджей. Ремонт картриджей с заменой комплектующих. Согласно технической спецификации;1;Одна услуга;184 000.00;184 000.00;2022-03-09 12:00:00;2022-03-16 12:00:00;Запрос ценовых предложений;Закупка состоялась
11;7068765-1;50985935-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Аптечка медицинская;Аптечка. Согласно технической спецификации;5;Штука;2 142.86;10 714.30;2022-03-04 11:20:00;2022-03-14 11:20:00;Запрос ценовых предложений;Закупка не состоялась
12;7060245-1;50948943-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Замок;Замок внутренний врезной;10;Штука;1 116.07;11 160.70;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
13;7060245-1;50987596-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Порошок;Порошок (фасовка 400 г) для ручной стирки;30;Килограмм;165.18;4 955.40;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
14;7060245-1;50942876-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ветошь;Техническая ткань;300;Метр погонный;160.71;48 213.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
15;7060245-1;50947497-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ведро;Ведро для мусора с педалью 18 литров.;10;Штука;3 616.07;36 160.70;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
16;7060245-1;50938368-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бумага;Бумага туалетная (Набережные челны);1000;Рулон;76.79;76 790.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
17;7060245-1;50989303-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Освежитель воздуха;Освежитель воздуха (мелодия ароматов лимон 285 мл);400;Штука;258.93;103 572.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
18;7060245-1;50950004-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Кисть;Кисти для побелки;7;Штука;316.96;2 218.72;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
19;7060245-1;50944378-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Мешок;Мусорные мешки;100;Штука;226.79;22 679.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
20;7060245-1;50990348-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Мыло;Мыло хозяйственное твердое (65%-300гр.);300;Штука;160.71;48 213.00;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
21;7060245-1;50944679-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Перчатки;Перчатки серые х/б, согласовать с заказчиком;120;Пара;75.89;9 106.80;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
22;7060245-1;50951327-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Швабра;Швабра Tzline Chenille с рукояткой 120 см.;5;Штука;1 772.32;8 861.60;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
23;7060245-1;50950129-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Кисть;Кисти малярные ширина 5 см;10;Штука;138.39;1 383.90;2022-03-03 16:30:00;2022-03-11 16:30:00;Запрос ценовых предложений;Закупка не состоялась
