№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;4701062-1;31010727-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Салфетка;Салфетки (тряпочки) цветные. Набор салфеток из микрофибры разного цвета размер 40*35 см. Для всех видов уборки. не менее 5 шт в упаковке.;169;Упаковка;830.00;140 270.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
2;4701062-1;31028078-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Мыло;Детское мыло не менее 100 гр., без красителей и ароматизаторов, гипоаллергенное.;8;Упаковка;320.00;2 560.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
3;4701062-1;31057167-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Мыло;Одноразовые мыло не менее 20гр., упаковка плиссе. Цвет белый. Антибактериальное. Гипоаллергенное.;50;Штука;130.00;6 500.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
4;4701062-1;31034616-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Губка;Губка для ванны и массажа, для водных процедур. Размер 10*16 см. Жесткий верхний слой с выемками для удобства при использовании.;55;Штука;550.00;30 250.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
5;4701062-1;31313030-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Застежка;Молния брючная, специальная лента плотная, стойкой окраски, легкость движения замка по ленте. Расцветка по согласованию с заказчиком.;54;Штука;280.00;15 120.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
6;4701062-1;31313017-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Макет;"Демонстративная модель последствия курение 3-D Display3-D Display (28 ""x 27"") включает восемь графических, постоянно прикрепленных трехмерных моделей в автономном чехе для переноски и хранения";1;Штука;6 000.00;6 000.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
7;4701062-1;31313043-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Емкость;Гастроемкости из нержавеющей стали ― это специальные пищевые лотки, предназначенные для приготовления различных блюд – мясных, овощных, рыбных, кондитерских и хлебобулочных изделий. Благодаря высокому качеству материала, гастроемкости из нержавеющей стали отлично подходят для подогрева и хранения продуктов, а также их транспортировки. Нержав сталь, размер GN 200*325*530 (1/1) Гастроемкость с крышкой;1;Штука;33 200.00;33 200.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
8;4701062-1;30996321-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Мыло;Мыло жидкое производится с использованием натуральных масел и экстрактов, уничтожает бактерии. Объем: не менее 300 мл.Мыло-крем подходящий тип кожи: для чувствительной. Эффект от использования: антибактериальный, смягчение, увлажнение. Тип дозирования: дозатор;155;Штука;795.00;123 225.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Закупка не состоялась
9;4701062-1;31053982-ЗЦП1;;"РГП ""Больница МЦ УДП РК""";Товар;Препарат заживляющий;Ополаскиватель для полости рта. Обладающий антимикробным свойством;33;Штука;720.00;23 760.00;2020-08-03 09:00:00;2020-08-05 18:00:00;Запрос ценовых предложений;Отказ от лота
