№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;7173061-1;46685557-ОИ5;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Cредство моющее;Средство от жира 0,,5 л.(прачечная);25;Бутылка;350.00;8 750.00;2022-03-17 12:22:58;2022-03-22 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
2;7167933-1;51757154-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Гвоздь строительный;Гвозди жидкие тюбик под пистолет;20;Штука;2 000.00;40 000.00;2022-03-16 19:12:09;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
3;7167933-1;51762454-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Проволока;Проволока оцинкованная диаметр 1,2мм;2;Килограмм;15 500.00;31 000.00;2022-03-16 19:12:09;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
4;7167933-1;51760292-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Бур;Бур по бетону SDS +M22*460мм;2;Штука;4 500.00;9 000.00;2022-03-16 19:12:09;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
5;7167933-1;51759113-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Диск;Диск отрезной по металлу 125*2,3*22,23 мм, материал абразив;50;Штука;250.00;12 500.00;2022-03-16 19:12:09;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
6;7167933-1;51758961-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Диск;Диск отрезной по металлу 230*1,6-22мм;60;Штука;350.00;21 000.00;2022-03-16 19:12:09;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
7;7161299-1;46685455-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Услуга;Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;"Концертная программа ""Наурыз мейрамы"", согласно технической спецификации";1;Одна услуга;500 000.00;500 000.00;2022-03-16 12:42:08;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
8;7160987-1;46685528-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Работа;Работы по ремонту/реставрации текстильных и аналогичных изделий;Работы по ремонту бильярдных столов;1;Работа;794 200.00;794 200.00;2022-03-16 12:25:14;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
9;7160006-1;47420293-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Работа;Работы погрузочно-разгрузочные;Услуги погрузчика, объем ковша 3 м куб. (60 часов), согласно графика и технической спецификации (согласно заявки Заказчика, в течение года);1;Работа;535 714.28;535 714.28;2022-03-16 11:42:09;2022-03-21 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
10;7120523-1;51476100-ЗЦП3;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Сахар;ГОСТ 33222-2015. Сахар в мешках по 25-50 кг ,сухой,без комков,кристалы однородного строения с ясно выраженными гранями,сыпучие,не липкие,без комков непробеленного сахара и посторонних примесей,белого цвета с блеском,вкус сладкий,без посторонних привкусов и запахов,растворимость в !!!ВНИМАНИЕ ЕЖЕДНЕВНАЯ ПОСТАВКА малыми партиями по заявке !!!;8225;Килограмм;366.07;3 010 925.75;2022-03-11 14:40:00;2022-03-18 14:40:00;Запрос ценовых предложений;Закупка не состоялась
11;7118562-1;47475801-ОИ2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Трубочка;Трубочки для коктейля разноцветные гофрированные длина 25 см.,;70000;Штука;3.00;210 000.00;2022-03-11 12:22:15;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
12;7115936-1;46685401-ЗЦП2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Средство дезинфицирующее;Концентрированное дезинфицирующее средство, которое можно применять для обработки поверхностей всех видов, а также санитарно-технического оборудования и жёсткой мебели 2л.;20;Флакон;15 000.00;300 000.00;2022-03-11 11:05:00;2022-03-18 11:05:00;Запрос ценовых предложений;Закупка не состоялась
13;7115040-1;51528036-ЗЦП2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Перчатки;Перчатки Х/Б С ПВХ (ИХС);200;Пара;200.00;40 000.00;2022-03-11 10:25:00;2022-03-18 10:25:22;Запрос ценовых предложений;Закупка не состоялась
14;7115040-1;51525702-ЗЦП2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Краги;Краги сварщика спилковые;12;Штука;3 500.00;42 000.00;2022-03-11 10:25:00;2022-03-18 10:25:22;Запрос ценовых предложений;Закупка не состоялась
15;7114630-1;46685554-ОИ4;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Средство моющее;Средство от пятен 0,5 л. (прачечная);10;Бутылка;6 705.00;67 050.00;2022-03-11 11:39:33;2022-03-16 11:39:33;Из одного источника по несостоявшимся закупкам;Закупка состоялась
16;7114019-1;46685386-ЗЦП2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Панты марала;Настойка из пантов марала (флакон 200 мл.);40;Литр (куб. дм.);13 500.00;540 000.00;2022-03-11 09:50:00;2022-03-18 09:50:00;Запрос ценовых предложений;Закупка не состоялась
17;7114019-1;46685380-ЗЦП2;;"АО ""ЛОК ""Ок-Жетпес""";Товар;Панты марала;Отвар пантовый;340;Литр (куб. дм.);3 800.00;1 292 000.00;2022-03-11 09:50:00;2022-03-18 09:50:00;Запрос ценовых предложений;Закупка состоялась
18;7113811-1;18704856-ОЛ-ОИ2;51502803;"АО ""ЛОК ""Ок-Жетпес""";Товар;Огурец;Огурцы свежие ОТБОРНЫЕ тепличные ,ГОСТ 33932-2016 короткоплодные,не перезревшие,мелкие,средние,без признаков гнили,яркого зеленого цвета,не более 11 см - 14 см,размер по поперечному срезу не более 4 см. НЕ ДОПУСТИМЫ плоды уродливой формы,желтые,раздавленные,гнилые,пораженные болезнями,с вызревшими семенами(семенники) . Предпочтителен сорт Меринда.ВНИМАНИЕ!!! При приемке на продуктовом складе скоропортящихся овощей и фруктов а именно : огурцы,помидоры перец болгарский ,кабачки,баклажаны,груши,яблоки,слива,персик,абрикос,банан,мандарин,апельсины,салат,зелень и др., производится переборка и отбраковывание принимаемых фруктов и овощей, представителем поставщика в присутствии кладовщика прод.склада. ЕЖЕДНЕВНАЯ поставка малыми партиями;1849;Килограмм;794.64;1 469 289.36;2022-03-11 09:36:58;2022-03-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
