№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;7101961-1;45530261-ОИ3;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Степлер;Степлер 24/6;15;Штука;535.71;8 035.65;2022-03-10 15:12:17;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
2;7101022-1;51603155-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Работа;Работы по проведению экспертиз/испытаний/тестирований;Работы по проведению испытания резервных дизель генераторов под нагрузкой;1;Работа;1 142 857.14;1 142 857.14;2022-03-10 14:09:52;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
3;7047777-1;51652363-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Услуга;Услуги по техническому обслуживанию контрольно-кассового оборудования;Услуги по техническому обслуживанию контрольно-кассовой машины;1;Одна услуга;7 200.00;7 200.00;2022-03-02 17:00:37;2022-03-10 17:00:47;Запрос ценовых предложений;Закупка не состоялась
4;7045451-1;51603155-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Работа;Работы по проведению экспертиз/испытаний/тестирований;Работы по проведению испытания резервных дизель генераторов под нагрузкой;1;Работа;1 142 857.14;1 142 857.14;2022-03-02 14:00:32;2022-03-10 14:00:40;Запрос ценовых предложений;Закупка не состоялась
5;7041571-1;51625546-ЗЦП1;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Работа;Работы по разработке/корректировке/рассчету/составлению проектно-сметной документации;Работы по составление локальной сметной расчета по текущему ремонту двух пожарных резервуаров;1;Работа;180 000.00;180 000.00;2022-03-02 14:00:00;2022-03-10 14:00:02;Запрос ценовых предложений;Закупка состоялась
6;7028209-1;45543987-ОИ2;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Работа;Работы по ремонту/модернизации компьютерной/периферийной оргтехники/оборудования;Работы по техническому обслуживанию и ремонту компьютерной и организационной техники;1;Работа;357 767.86;357 767.86;2022-03-01 10:10:18;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
7;7027359-1;45527342-ОИ4;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Швабра;Швабра бытовая регулируемая в комплекте;10;Комплект;4 790.18;47 901.80;2022-03-01 09:32:02;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
8;7027359-1;45520164-ОИ3;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Ведро;Ведро из пластика, объем 10 л;15;Штука;767.86;11 517.90;2022-03-01 09:32:02;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
9;7027359-1;45519104-ОИ4;;"Республиканское государственное предприятие на праве хозяйственного ведения ""Государственная авиакомпания ""Беркут"" Управления Делами Президента Республики Казахстан";Товар;Средство моющее;Шампунь для ручной чистки ковровых изделий, 450 мл, состав: менее 5% кислородосодержащий отбеливатель, неионогенные и анионные ПАВ, поликарбоксилаты, ароматизатор, кумарин, гераниол, бутилфенил, метилпропиональ;10;Бутылка;1 357.14;13 571.40;2022-03-01 09:32:02;2022-03-10 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
