№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;6120983-1;45106801-ОИ2;;"РГП на ПХВ ""Дирекция административных зданий Администрации Президента и Правительства РК"" УДП РК""";Товар;Соль техническая;Соль таблетированная универсальная для смягчения воды, равномерно растворимое без осадка. Подходит для всех ионообменных систем. (мешок 25 кг.);200;Килограмм;160.71;32 142.00;2021-07-28 12:15:06;2021-08-02 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
2;6098782-1;45106801-ЗЦП1;;"РГП на ПХВ ""Дирекция административных зданий Администрации Президента и Правительства РК"" УДП РК""";Товар;Соль техническая;Соль таблетированная универсальная для смягчения воды, равномерно растворимое без осадка. Подходит для всех ионообменных систем. (мешок 25 кг.);200;Килограмм;160.71;32 142.00;2021-07-21 12:07:47;2021-07-28 12:07:51;Запрос ценовых предложений;Закупка не состоялась
3;5933977-1;43630340-ОИ8;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-06-03 22:00:06;2021-06-08 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
4;5901567-1;43630340-ЗЦП7;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-05-27 21:52:49;2021-06-03 21:52:51;Запрос ценовых предложений;Закупка не состоялась
5;5866714-1;44232513-ОИ2;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Плата специальная;Плата управления для откатных ворот CAME ZBX 74-78 Основные Степень защиты IP 44 Максимальная высота створки 3.0 м Максимальный вес створки 800.0 кг Максимальная ширина створки 8.0 м Максимальная рабочая температура 60.0 град. Предназначение автоматики для откатных ворот Страна производитель Италия Скорость движения створки 12.0 м/мин Мощность 320.0 Вт Производитель Came Напряжение питания 220 В;2;Штука;69 964.29;139 928.58;2021-05-19 10:45:06;2021-05-24 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
6;5866681-1;43630340-ОИ6;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-05-19 10:42:07;2021-05-24 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
7;5834637-1;44232513-ЗЦП1;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Плата специальная;Плата управления для откатных ворот CAME ZBX 74-78 Основные Степень защиты IP 44 Максимальная высота створки 3.0 м Максимальный вес створки 800.0 кг Максимальная ширина створки 8.0 м Максимальная рабочая температура 60.0 град. Предназначение автоматики для откатных ворот Страна производитель Италия Скорость движения створки 12.0 м/мин Мощность 320.0 Вт Производитель Came Напряжение питания 220 В;2;Штука;69 964.29;139 928.58;2021-05-12 10:37:34;2021-05-19 10:37:38;Запрос ценовых предложений;Закупка не состоялась
8;5834603-1;43630340-ЗЦП5;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-05-12 10:34:08;2021-05-19 10:34:12;Запрос ценовых предложений;Закупка не состоялась
9;5772494-1;43630340-ОИ4;;"РГП ""Дирекция административных зданий Управления делами Президента Республики Казахстан в городе Алматы"" на ПХВ";Товар;Шуруповерт;Аккумуляторный шуруповерт Li-Ion BOSCH GSR 180-LI 2 x 1,5 Ah Case. Напряжение питания 18 В, частота холостого хода 0 — 1700 минˉ¹, 0 — 450 минˉ¹, Аккумуляторы в комплекте 2 х 1,5 Ач, Диаметр сверления в дереве - до 35мм. Стаоли - до 10мм. Патрон 13 мм, быстрозажимной. Кейс пластиковый в комплекте.;1;Комплект;51 785.71;51 785.71;2021-04-23 10:45:07;2021-04-28 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
