№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;6570950-1;48124402-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;Предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;9 083 035.71;9 083 035.71;2022-01-14 15:33:38;2022-01-29 15:33:38;Открытый конкурс;Закупка состоялась
2;5295344-1;39700761-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;Предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;8 121 428.57;8 121 428.57;2021-01-14 16:23:18;2021-01-29 16:28:18;Открытый конкурс;Закупка состоялась
3;3962776-1;30243868-ОИ3;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;Предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;7 291 071.43;7 291 071.43;2020-02-07 18:53:22;2020-02-14 18:53:22;Из одного источника по несостоявшимся закупкам;Закупка состоялась
4;3922902-1;30243868-ОК2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;Предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;7 291 071.43;7 291 071.43;2020-01-30 16:38:13;2020-02-07 16:10:09;Открытый конкурс;Закупка не состоялась
5;3831283-1;30243868-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;Предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;7 291 071.43;7 291 071.43;2020-01-14 15:30:07;2020-01-29 16:29:07;Открытый конкурс;Закупка не состоялась
6;3208993-1;22548054-ОИ3;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 780 357.14;6 780 357.14;2019-03-18 12:30:20;2019-03-28 12:30:20;Из одного источника по несостоявшимся закупкам;Закупка состоялась
7;3169834-1;22548054-ОК2;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 780 357.14;6 780 357.14;2019-03-05 12:23:11;2019-03-14 12:10:55;Открытый конкурс;Закупка не состоялась
8;2983598-1;22548054-ОК1;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Услуга;Услуги по аренде легковых автомобилей;предоставление транспортных услуг машиной представительского класса с водителем;1;Одна услуга;6 780 357.14;6 780 357.14;2019-02-12 15:40:34;2019-02-15 15:40:34;Открытый конкурс;Закупка не состоялась
9;2834256-1;16085039-ЗЦП4;;"ГУ ""Медицинский центр Управления Делами Президента Республики Казахстан""";Товар;Станция рабочая;Рабочие станции пользователей (полная характеристика указана в технической спецификации);4;Штука;296 785.71;1 187 142.84;2018-09-14 16:00:00;2018-09-21 17:00:00;Запрос ценовых предложений;Закупка состоялась
