№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;7110767-1;51190370-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Смеситель;Смеситель для кухни. Тип монтажа настольное крепление. Гибкая подводка, стиль классика. Материал латунь. Покрытие хром. Излив вытяжной. Отверствие для монтажа 1. Тип дивертора кнопочный. Вес 2 кг. Снабжен керамическим картриджем диаметром 35мм. Защита от обратного потока. Аэратор, ограничитель температуры. Высота смесителя 224мм, диаметр отверстий для установки 34мм;2;Штука;71 428.57;142 857.14;2022-03-10 23:24:56;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
2;7110767-1;51190325-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Смеситель;Устройство душирующее. Подвод горячей и холодной воды. Кран. Металлическая оплетка для защиты от поломки и изгиба шланга. Душ поворачивается на 360 градусов. Крепление на стену с помощью кронштейна. Концы спирали с защитным слоем пластмассы. Максимальная температура подключаемой воды 100° С. Размер 190х140х1200мм. Вес 5 кг.;2;Штука;106 662.50;213 325.00;2022-03-10 23:24:56;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
3;7110711-1;46581204-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Порошок;"Стиральный порошок, 450 гр., автомат, Для стирки цветных и белых изделий из х/б, льняных, синтетических тканей и тканей из смешанных волокон в стиральных машинах-автоматах и ручной стирки в воде любой жесткости. Для изделий из шерсти и шелка используйте специальные моющие средства. Для цветного. Состав: 5-15% анионные ПАВ; менее 5% неионогенные ПАВ, поликарбоксилаты, фосфонаты, мыло, энзимы, отдушка. Срок годности 3 года.";108;Одна пачка;599.50;64 746.00;2022-03-10 23:22:35;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
4;7110710-1;46581238-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Средство моющее;Средство для чистки кухонных плит, гель500 мл. Характеристики продукта: Средство для чистки кухонных плит с активным расщепителем жира быстро и эффективно удаляет жир, пригоревшую пищу, нагар и въевшуюся грязь. Средство идеально подходит для очищения кухонных плит, микроволновых печей, грилей, духовых шкафов, мытья полов на кухне.Состав: > 5 %, но < 15 % щелочные компоненты, < 5 % АПАВ, < 5 %: краситель,ароматизирующая добавка.предназначен для удаления жировых загрязнений с кухонных плит, микроволновых печей, грилей, духовых шкафов, а также для мытья полов на кухне.Тип упаковки флакон. Тип товара для плит и духовок;120;Бутылка;659.45;79 134.00;2022-03-10 23:21:51;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
5;7107854-1;46581336-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Бумага;для заметок, формат блока 9*9 см, белая бумага в пласт. Боксе 500 л.;80;Одна пачка;385.04;30 803.20;2022-03-10 20:28:23;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
6;7107854-1;46581346-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Зажим;Зажим для бумаги и документов, размер 25мм., в одной упаковке 12шт.;36;Одна пачка;298.95;10 762.20;2022-03-10 20:28:23;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
7;7107853-1;46581378-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Скоба;Скобы для электрического степлера (№66/8);12;Одна пачка;3 940.53;47 286.36;2022-03-10 20:28:06;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
8;7107852-1;46581356-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 7,9 мм, шаг пружины 2 витка, сечение проволоки 0,7 мм, цвет белый, металлическая в упаковке 100шт.;6;Упаковка;3 571.43;21 428.58;2022-03-10 20:28:19;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
9;7107852-1;46581357-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 12,7 мм, шаг пружины 2 витка, сечение проволоки 0,8 мм, цвет белый, металлическая в упаковке 100шт;6;Упаковка;3 928.57;23 571.42;2022-03-10 20:28:19;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
10;7107852-1;46581358-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 19 мм, шаг пружины 3 витка, сечение проволоки 0,9 мм, цвет белый, металлическая в упаковке 100шт;6;Упаковка;4 285.71;25 714.26;2022-03-10 20:28:19;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
11;7107852-1;46581359-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Пружина;Пружина для переплета диаметр 22 мм, шаг пружины 3 витка, сечение проволоки 1,0 мм, цвет белый, металлическая в упаковке 100шт;6;Штука;4 642.86;27 857.16;2022-03-10 20:28:19;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
12;7107850-1;46581350-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Нож;ширина 18 мм, корпус пластик;20;Штука;121.97;2 439.40;2022-03-10 20:28:15;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
13;7107850-1;46581368-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Тетрадь;48 л., клетка, А5;63;Штука;155.46;9 793.98;2022-03-10 20:28:15;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
14;7107849-1;46581371-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Флеш-накопитель;интерфейс USB 3.0, емкость 8 Гб Диск накопительный;12;Штука;2 673.79;32 085.48;2022-03-10 20:28:08;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
15;7107849-1;46581372-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Флеш-накопитель;интерфейс USB 3.0, емкость 4 Гб Диск накопительный;12;Штука;2 673.79;32 085.48;2022-03-10 20:28:08;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
16;7107849-1;46581373-ОИ2;;"РГП на ПХВ ""Дирекция государственных резиденций Управления Делами Президента Республики Казахстан""";Товар;Флеш-накопитель;интерфейс USB 3.0, емкость 16 Гб Диск накопительный;12;Штука;2 673.79;32 085.48;2022-03-10 20:28:08;2022-03-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
